TimeStamp,TotalTimePerGame
11/16/2019 10:23:38 AM,12
11/16/2019 10:24:14 AM,11
11/16/2019 10:27:44 AM,21
11/16/2019 6:45:44 PM,32
11/16/2019 6:51:17 PM,12
11/16/2019 7:49:53 PM,7
11/16/2019 7:51:30 PM,7
11/16/2019 7:52:13 PM,32
11/16/2019 8:09:50 PM,27
11/16/2019 8:18:19 PM,12
11/17/2019 12:34:25 PM,14
11/17/2019 2:49:18 PM,22
11/17/2019 2:53:28 PM,9
11/17/2019 2:57:13 PM,22
11/17/2019 11:24:35 AM,37
11/17/2019 11:26:50 AM,12
11/17/2019 11:33:29 AM,29
11/17/2019 11:35:40 AM,27
11/17/2019 11:36:15 AM,13
11/17/2019 11:37:38 AM,32
11/17/2019 11:38:33 AM,41
11/18/2019 10:56:23 AM,14
11/18/2019 10:58:51 AM,17
11/18/2019 10:59:28 AM,19
11/18/2019 11:02:51 AM,31
11/18/2019 11:03:49 AM,38
11/23/2019 3:06:47 PM,12
11/23/2019 3:07:24 PM,22
11/23/2019 3:07:55 PM,22
11/23/2019 3:08:28 PM,22
11/23/2019 3:08:51 PM,13
11/23/2019 3:09:48 PM,18
11/23/2019 3:10:20 PM,14
11/23/2019 3:10:46 PM,13
11/23/2019 3:11:13 PM,12
11/23/2019 3:11:37 PM,14
11/23/2019 3:11:56 PM,9
11/23/2019 3:12:44 PM,16
11/23/2019 3:13:17 PM,19
11/23/2019 3:14:10 PM,12
11/23/2019 3:15:04 PM,14
11/23/2019 3:15:29 PM,2
11/23/2019 3:16:34 PM,13
11/23/2019 3:16:51 PM,6
11/23/2019 3:17:22 PM,12
11/23/2019 3:17:42 PM,9
11/23/2019 3:40:15 PM,17
11/23/2019 3:40:22 PM,0
11/23/2019 3:40:32 PM,0
11/23/2019 3:40:42 PM,0
11/23/2019 3:40:51 PM,0
11/23/2019 3:41:00 PM,0
11/23/2019 3:41:16 PM,0
11/23/2019 3:41:24 PM,0
11/23/2019 3:48:24 PM,0
11/23/2019 3:49:29 PM,37
11/23/2019 3:49:44 PM,5
11/23/2019 3:50:20 PM,22
11/23/2019 3:50:49 PM,17
11/23/2019 3:51:11 PM,13
11/23/2019 3:51:30 PM,9
11/23/2019 3:53:08 PM,19
11/25/2019 2:20:06 PM,2
11/25/2019 2:22:00 PM,3
11/25/2019 2:22:22 PM,11
11/25/2019 2:24:06 PM,5
11/25/2019 2:24:18 PM,1
11/25/2019 2:25:56 PM,4
11/25/2019 2:30:20 PM,2
11/25/2019 2:32:35 PM,27
11/25/2019 2:33:09 PM,1
11/25/2019 2:47:08 PM,59
11/25/2019 2:58:24 PM,7
11/25/2019 2:58:39 PM,2
11/25/2019 3:05:40 PM,3
11/25/2019 3:09:02 PM,6
11/25/2019 3:09:25 PM,10
11/25/2019 3:09:58 PM,13
11/25/2019 3:10:58 PM,32
11/25/2019 3:22:39 PM,2
11/25/2019 3:26:49 PM,12
11/25/2019 3:28:25 PM,7
11/25/2019 3:30:13 PM,3
12/1/2019 1:40:26 PM,0
12/1/2019 1:42:42 PM,0
12/1/2019 1:45:13 PM,0
12/1/2019 2:40:11 PM,87
12/1/2019 2:55:15 PM,82
12/1/2019 2:56:10 PM,84
12/1/2019 2:58:41 PM,87
12/1/2019 2:59:36 PM,80
12/1/2019 3:00:12 PM,73
12/1/2019 3:08:50 PM,68
12/1/2019 3:10:36 PM,86
12/1/2019 3:11:27 PM,78
12/1/2019 3:17:46 PM,73
12/1/2019 3:22:43 PM,36
12/1/2019 3:24:07 PM,72
12/1/2019 3:33:06 PM,78
